,ID,Name,Generation,Type 1,Type 2,Attack,Defense,Stamina,Max CP,Max HP,Height (m),Weight (kg),Base Capture Rate (%),Base Flee Rate (%),Distance to Candy (km),Image URL,Summary,About,Is Legendary
0,1,bulbasaur,1,Grass,Poison,118,111,128,1115,113,0.7,6.9,20.0,10.0,3,https://images.gameinfo.io/pokemon/256/001-00.png,"Bulbasaur is a Grass & Poison Pokémon. It is vulnerable to Fire, Flying, Ice and Psychic moves. Bulbasaur's strongest moveset is Vine Whip & Power Whip and it has a Max CP of 1,115. Bulbasaur evolves into Ivysaur.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",False
1,2,ivysaur,1,Grass,Poison,151,143,155,1699,134,1.0,13.0,10.0,7.0,3,https://images.gameinfo.io/pokemon/256/002-00.png,"Ivysaur is a Grass & Poison Pokémon which evolves from Bulbasaur. It is vulnerable to Fire, Flying, Ice and Psychic moves. Ivysaur's strongest moveset is Vine Whip & Power Whip and it has a Max CP of 1,699. Ivysaur evolves into Venusaur.","There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.",False
2,3,venusaur,1,Grass,Poison,198,189,190,2720,162,2.0,100.0,5.0,5.0,3,https://images.gameinfo.io/pokemon/256/003-00.png,"Venusaur is a Grass & Poison Pokémon which evolves from Ivysaur. It is vulnerable to Fire, Flying, Ice and Psychic moves. Venusaur's strongest moveset is Vine Whip & Frenzy Plant and it has a Max CP of 2,720.",There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,False
3,4,charmander,1,Fire,,116,93,118,980,105,0.6,8.5,20.0,10.0,3,https://images.gameinfo.io/pokemon/256/004-00.png,"Charmander is a Fire Pokémon. It is vulnerable to Ground, Rock and Water moves. Charmander's strongest moveset is Ember & Flamethrower and it has a Max CP of 980. Charmander evolves into Charmeleon.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",False
4,5,charmeleon,1,Fire,,158,126,151,1653,131,1.1,19.0,10.0,7.0,3,https://images.gameinfo.io/pokemon/256/005-00.png,"Charmeleon is a Fire Pokémon which evolves from Charmander. It is vulnerable to Ground, Rock and Water moves. Charmeleon's strongest moveset is Fire Fang & Flamethrower and it has a Max CP of 1,653. Charmeleon evolves into Charizard.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",False
5,6,charizard,1,Fire,Flying,223,173,186,2889,158,1.7,90.5,5.0,5.0,3,https://images.gameinfo.io/pokemon/256/006-00.png,"Charizard is a Fire & Flying Pokémon which evolves from Charmeleon. It is vulnerable to Rock, Electric and Water moves. Charizard's strongest moveset is Fire Spin & Blast Burn and it has a Max CP of 2,889.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",False
6,7,squirtle,1,Water,,94,121,127,946,112,0.5,9.0,20.0,10.0,3,https://images.gameinfo.io/pokemon/256/007-00.png,Squirtle is a Water Pokémon. It is vulnerable to Grass and Electric moves. Squirtle's strongest moveset is Bubble & Aqua Tail and it has a Max CP of 946. Squirtle evolves into Wartortle.,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",False
7,8,wartortle,1,Water,,126,155,153,1488,132,1.0,22.5,10.0,7.0,3,https://images.gameinfo.io/pokemon/256/008-00.png,"Wartortle is a Water Pokémon which evolves from Squirtle. It is vulnerable to Grass and Electric moves. Wartortle's strongest moveset is Water Gun & Hydro Pump and it has a Max CP of 1,488. Wartortle evolves into Blastoise.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.",False
8,9,blastoise,1,Water,,171,207,188,2466,160,1.6,85.5,5.0,5.0,3,https://images.gameinfo.io/pokemon/256/009-00.png,"Blastoise is a Water Pokémon which evolves from Wartortle. It is vulnerable to Grass and Electric moves. Blastoise's strongest moveset is Water Gun & Hydro Cannon and it has a Max CP of 2,466.",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,False
9,10,caterpie,1,Bug,,55,55,128,437,113,0.3,2.9,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/010-00.png,"Caterpie is a Bug Pokémon. It is vulnerable to Fire, Flying and Rock moves. Caterpie's strongest moveset is Bug Bite & Struggle and it has a Max CP of 437. Caterpie evolves into Metapod.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",False
